relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex
37398;1786831804127;1508;Settings / Licht & Fahrstufe;17;12;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
37598;1786831804327;1509;BatteryChange / Akku-Livestand;11;12;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
37811;1786831804540;150A;MotorUpdate / Motor-Livestand;10;12;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
38016;1786831804745;150B;Motor-/Controllerblock;20;12;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
38229;1786831804958;150D;Fahrstatistik Max/Ø;20;12;1;00-25-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
39274;1786831806003;1502;Akkuinformationen;16;13;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
39690;1786831806419;1505;BikePerformance / Fahrleistung;18;13;7;00-00-00-00-FF-FF-00-2A-FF-FF-FF-FF-FF-00-00-00-00-00
39892;1786831806621;1506;Trip / Kilometer & Betriebszähler;16;13;7;00-00-1B-A9-00-02-25-7E-00-00-02-C4-00-00-00-00
40421;1786831807150;1508;Settings / Licht & Fahrstufe;17;13;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
40521;1786831807250;1509;BatteryChange / Akku-Livestand;11;13;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
40724;1786831807453;150A;MotorUpdate / Motor-Livestand;10;13;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
40939;1786831807668;150B;Motor-/Controllerblock;20;13;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
41144;1786831807873;150D;Fahrstatistik Max/Ø;20;13;1;00-2A-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
42190;1786831808919;1502;Akkuinformationen;16;14;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
42605;1786831809334;1505;BikePerformance / Fahrleistung;18;14;7;00-00-00-00-FF-FF-00-28-FF-FF-FF-FF-FF-00-00-00-00-00
42821;1786831809550;1506;Trip / Kilometer & Betriebszähler;16;14;7;00-00-1B-A9-00-02-25-81-00-00-02-C4-00-00-00-00
43236;1786831809965;1508;Settings / Licht & Fahrstufe;17;14;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
43446;1786831810175;1509;BatteryChange / Akku-Livestand;11;14;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
43664;1786831810393;150A;MotorUpdate / Motor-Livestand;10;14;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
43855;1786831810584;150B;Motor-/Controllerblock;20;14;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
44081;1786831810810;150D;Fahrstatistik Max/Ø;20;14;–;00-2A-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
45102;1786831811831;1502;Akkuinformationen;16;15;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
45533;1786831812262;1505;BikePerformance / Fahrleistung;18;15;7;00-00-00-00-FF-FF-00-24-FF-FF-FF-FF-FF-00-00-00-00-00
45734;1786831812463;1506;Trip / Kilometer & Betriebszähler;16;15;7;00-00-1B-A9-00-02-25-84-00-00-02-C4-00-00-00-00
46150;1786831812879;1508;Settings / Licht & Fahrstufe;17;15;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
46362;1786831813091;1509;BatteryChange / Akku-Livestand;11;15;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
46565;1786831813294;150A;MotorUpdate / Motor-Livestand;10;15;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
46778;1786831813507;150B;Motor-/Controllerblock;20;15;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
47048;1786831813777;150D;Fahrstatistik Max/Ø;20;15;–;00-2A-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
48029;1786831814758;1502;Akkuinformationen;16;16;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
48448;1786831815177;1505;BikePerformance / Fahrleistung;18;16;7;00-00-00-00-FF-FF-00-0E-FF-FF-FF-FF-FF-00-00-00-00-00
48657;1786831815386;1506;Trip / Kilometer & Betriebszähler;16;16;7;00-00-1B-A9-00-02-25-87-00-00-02-C4-00-00-00-00
49074;1786831815803;1508;Settings / Licht & Fahrstufe;17;16;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
49273;1786831816002;1509;BatteryChange / Akku-Livestand;11;16;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
49489;1786831816218;150A;MotorUpdate / Motor-Livestand;10;16;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
49691;1786831816420;150B;Motor-/Controllerblock;20;16;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
49905;1786831816634;150D;Fahrstatistik Max/Ø;20;16;–;00-2A-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
50964;1786831817693;1502;Akkuinformationen;16;17;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
51359;1786831818088;1505;BikePerformance / Fahrleistung;18;17;7;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
51573;1786831818302;1506;Trip / Kilometer & Betriebszähler;16;17;–;00-00-1B-A9-00-02-25-87-00-00-02-C4-00-00-00-00
51988;1786831818717;1508;Settings / Licht & Fahrstufe;17;17;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
52200;1786831818929;1509;BatteryChange / Akku-Livestand;11;17;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
52403;1786831819132;150A;MotorUpdate / Motor-Livestand;10;17;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
52619;1786831819348;150B;Motor-/Controllerblock;20;17;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
52821;1786831819550;150D;Fahrstatistik Max/Ø;20;17;–;00-2A-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
53869;1786831820598;1502;Akkuinformationen;16;18;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
54282;1786831821011;1505;BikePerformance / Fahrleistung;18;18;7;00-00-00-00-FF-FF-00-0A-FF-FF-FF-FF-FF-00-00-00-00-00
54487;1786831821216;1506;Trip / Kilometer & Betriebszähler;16;18;7;00-00-1B-A9-00-02-25-89-00-00-02-C4-00-00-00-00
54916;1786831821645;1508;Settings / Licht & Fahrstufe;17;18;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
55116;1786831821845;1509;BatteryChange / Akku-Livestand;11;18;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
55328;1786831822057;150A;MotorUpdate / Motor-Livestand;10;18;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
55533;1786831822262;150B;Motor-/Controllerblock;20;18;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
55743;1786831822472;150D;Fahrstatistik Max/Ø;20;18;–;00-2A-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
56781;1786831823510;1502;Akkuinformationen;16;19;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
57197;1786831823926;1505;BikePerformance / Fahrleistung;18;19;7;00-00-00-00-FF-FF-00-23-FF-FF-FF-FF-FF-00-00-00-00-00
57408;1786831824137;1506;Trip / Kilometer & Betriebszähler;16;19;7;00-00-1B-A9-00-02-25-8C-00-00-02-C4-00-00-00-00
57829;1786831824558;1508;Settings / Licht & Fahrstufe;17;19;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
58042;1786831824771;1509;BatteryChange / Akku-Livestand;11;19;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
58244;1786831824973;150A;MotorUpdate / Motor-Livestand;10;19;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
58455;1786831825184;150B;Motor-/Controllerblock;20;19;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
58659;1786831825388;150D;Fahrstatistik Max/Ø;20;19;–;00-2A-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
59707;1786831826436;1502;Akkuinformationen;16;20;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
60235;1786831826964;1505;BikePerformance / Fahrleistung;18;20;0,1,2,3,7;01-F4-01-F4-FF-FF-00-48-FF-FF-FF-FF-FF-00-00-00-00-00
60321;1786831827050;1506;Trip / Kilometer & Betriebszähler;16;20;7;00-00-1B-A9-00-02-25-8F-00-00-02-C4-00-00-00-00
60857;1786831827586;1508;Settings / Licht & Fahrstufe;17;20;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
60951;1786831827680;1509;BatteryChange / Akku-Livestand;11;20;0,1,5,6,10;07-D0-FF-FF-4B-C4-7C-00-00-00-64
61166;1786831827895;150A;MotorUpdate / Motor-Livestand;10;20;0,1;0B-B8-FF-FF-FF-FF-FF-FF-FF-FF
61448;1786831828177;150B;Motor-/Controllerblock;20;20;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
61584;1786831828313;150D;Fahrstatistik Max/Ø;20;20;1;00-57-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
62729;1786831829458;1502;Akkuinformationen;16;21;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
63084;1786831829813;1505;BikePerformance / Fahrleistung;18;21;0,1,2,3,7;00-00-00-00-FF-FF-00-52-FF-FF-FF-FF-FF-00-00-00-00-00
63249;1786831829978;1506;Trip / Kilometer & Betriebszähler;16;21;7;00-00-1B-A9-00-02-25-92-00-00-02-C4-00-00-00-00
63746;1786831830475;1508;Settings / Licht & Fahrstufe;17;21;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
63868;1786831830597;1509;BatteryChange / Akku-Livestand;11;21;0,1,5,6,10;03-E8-FF-FF-4B-C5-44-00-00-00-32
64088;1786831830817;150A;MotorUpdate / Motor-Livestand;10;21;–;0B-B8-FF-FF-FF-FF-FF-FF-FF-FF
64295;1786831831024;150B;Motor-/Controllerblock;20;21;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
64577;1786831831306;150D;Fahrstatistik Max/Ø;20;21;1;00-6B-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
65646;1786831832375;1502;Akkuinformationen;16;22;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
65966;1786831832695;1505;BikePerformance / Fahrleistung;18;22;7;00-00-00-00-FF-FF-00-74-FF-FF-FF-FF-FF-00-00-00-00-00
66162;1786831832891;1506;Trip / Kilometer & Betriebszähler;16;22;7;00-00-1B-A9-00-02-25-94-00-00-02-C4-00-00-00-00
66582;1786831833311;1508;Settings / Licht & Fahrstufe;17;22;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
66794;1786831833523;1509;BatteryChange / Akku-Livestand;11;22;0,1,5,6,9,10;17-70-FF-FF-4B-C2-24-00-00-01-26
66997;1786831833726;150A;MotorUpdate / Motor-Livestand;10;22;0,1;0F-A0-FF-FF-FF-FF-FF-FF-FF-FF
67209;1786831833938;150B;Motor-/Controllerblock;20;22;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
67555;1786831834284;150D;Fahrstatistik Max/Ø;20;22;1;00-79-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
68537;1786831835266;1502;Akkuinformationen;16;23;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
68979;1786831835708;1505;BikePerformance / Fahrleistung;18;23;7;00-00-00-00-FF-FF-00-80-FF-FF-FF-FF-FF-00-00-00-00-00
69086;1786831835815;1506;Trip / Kilometer & Betriebszähler;16;23;7;00-00-1B-A9-00-02-25-97-00-00-02-C4-00-00-00-00
69615;1786831836344;1508;Settings / Licht & Fahrstufe;17;23;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
69703;1786831836432;1509;BatteryChange / Akku-Livestand;11;23;0,1,5,6,9,10;03-E8-FF-FF-4B-C4-E0-00-00-00-32
70045;1786831836774;150A;MotorUpdate / Motor-Livestand;10;23;0,1;00-00-FF-FF-FF-FF-FF-FF-FF-FF
