relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;origin;connection_epoch
40663;1787229955771;1505;BikePerformance / Fahrleistung;18;12;0,1,2,3,7;00-00-00-00-FF-FF-00-AE-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
40872;1787229955980;1506;Trip / Kilometer & Betriebszähler;16;12;7;00-00-1B-DA-00-02-2B-E8-00-00-02-C9-00-00-00-00;NOTIFICATION;1
41293;1787229956401;1508;Settings / Licht & Fahrstufe;17;12;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
41503;1787229956611;1509;BatteryChange / Akku-Livestand;11;12;0,1,5,6,9,10;13-88-FF-FF-3B-BD-74-00-00-00-F2;NOTIFICATION;1
41702;1787229956810;150A;MotorUpdate / Motor-Livestand;10;12;0,1;07-D0-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
41912;1787229957020;150B;Motor-/Controllerblock;20;12;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
42120;1787229957228;150D;Fahrstatistik Max/Ø;20;12;1;00-BC-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
43162;1787229958270;1502;Akkuinformationen;16;13;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
43584;1787229958692;1505;BikePerformance / Fahrleistung;18;13;7;00-00-00-00-FF-FF-00-98-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
43792;1787229958900;1506;Trip / Kilometer & Betriebszähler;16;13;7;00-00-1B-DA-00-02-2B-EB-00-00-02-C9-00-00-00-00;NOTIFICATION;1
44214;1787229959322;1508;Settings / Licht & Fahrstufe;17;13;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
44413;1787229959521;1509;BatteryChange / Akku-Livestand;11;13;0,1,5,6,10;00-00-FF-FF-3B-BE-A0-00-00-00-00;NOTIFICATION;1
44618;1787229959726;150A;MotorUpdate / Motor-Livestand;10;13;0,1;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
44831;1787229959939;150B;Motor-/Controllerblock;20;13;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
45044;1787229960152;150D;Fahrstatistik Max/Ø;20;13;–;00-BC-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
46081;1787229961189;1502;Akkuinformationen;16;14;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
46503;1787229961611;1505;BikePerformance / Fahrleistung;18;14;0,1,2,3,7;03-C0-03-C0-FF-FF-00-8A-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
46713;1787229961821;1506;Trip / Kilometer & Betriebszähler;16;14;7;00-00-1B-DA-00-02-2B-EE-00-00-02-C9-00-00-00-00;NOTIFICATION;1
47132;1787229962240;1508;Settings / Licht & Fahrstufe;17;14;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
47332;1787229962440;1509;BatteryChange / Akku-Livestand;11;14;0,1,5,6,9,10;1B-58-FF-FF-3B-B9-8C-00-00-01-1E;NOTIFICATION;1
47543;1787229962651;150A;MotorUpdate / Motor-Livestand;10;14;0,1;1F-40-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
47752;1787229962860;150B;Motor-/Controllerblock;20;14;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
47963;1787229963071;150D;Fahrstatistik Max/Ø;20;14;–;00-BC-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
49001;1787229964109;1502;Akkuinformationen;16;15;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
49424;1787229964532;1505;BikePerformance / Fahrleistung;18;15;0,1,2,3,7;0E-E2-0E-E2-FF-FF-00-D3-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
49632;1787229964740;1506;Trip / Kilometer & Betriebszähler;16;15;7;00-00-1B-DA-00-02-2B-F1-00-00-02-C9-00-00-00-00;NOTIFICATION;1
50052;1787229965160;1508;Settings / Licht & Fahrstufe;17;15;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
